tx_id,date,sender_address,receiver_address,moniker,token,amount,fee_token,fee_amount,test
46614C9979E8C6F6B753CC4907528886F531803B0F73D74CE6067C0E191754EF,2022-12-31 02:12:42 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1hr7svdp2rga9vf3ry95sx7g5wyspgwmg96vqg5,PFC - Panama Flower Company,uluna,0,uluna,0,true
46614C9979E8C6F6B753CC4907528886F531803B0F73D74CE6067C0E191754EF,2022-12-31 02:12:42 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,PFC - Panama Flower Company,uluna,0,uluna,0,true
8B39308199EA85F10F42C4F8A0489D6ACE4211AA666F147D9D1F599A3BF08930,2022-12-31 02:12:36 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1e4sju9ya52l8ndjcneut4hg52y228360j0w86r,syncnode,uluna,0,uluna,0,true
8B39308199EA85F10F42C4F8A0489D6ACE4211AA666F147D9D1F599A3BF08930,2022-12-31 02:12:36 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,syncnode,uluna,0,uluna,0,true
000429323660266C7F76023490649B9B47104C1711C12FE361F10E1D2275FD3B,2022-12-31 02:11:55 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Terran One,uluna,10002,uluna,2015,true
000429323660266C7F76023490649B9B47104C1711C12FE361F10E1D2275FD3B,2022-12-31 02:11:55 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1gtw2uxdkdt3tvq790ckjz8jm8qgwkdw3uptstn,Terran One,uluna,4751,uluna,5251,true
95620A6832235DBF0CD18A839069015E6A3CBE05B3C4AA2207C860582057D281,2022-12-31 02:11:49 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,CAPAPULT,uluna,0,uluna,0,true
95620A6832235DBF0CD18A839069015E6A3CBE05B3C4AA2207C860582057D281,2022-12-31 02:11:49 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1cqc26lnatzxvu0z5nd4yx8m4ecllkm7jlakwrw,CAPAPULT,uluna,0,uluna,0,true
5AAC10371320F8DD10219D501DC2BA4E8D44AB1FACE3F1E43ABF5371DF4E52E2,2022-12-31 02:11:31 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,🔥 LUNC DAO 🔥,uluna,10009,uluna,2053,true
5AAC10371320F8DD10219D501DC2BA4E8D44AB1FACE3F1E43ABF5371DF4E52E2,2022-12-31 02:11:31 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1tz203ptlsfs8c63f2j0d0872pt5frjrvtfg0vd,🔥 LUNC DAO 🔥,uluna,950,uluna,9059,true
0622576C5C468506825F3B97D2FEEC9BCBEB0525B482E6B883C57515ECBA5F16,2022-12-31 02:11:13 -0500 EST,terra1ju9cgpl78qszngdkvrpjht00f7wf6hql6l9v8q,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,Imperator.co,uluna,10008,uluna,2087,true
0622576C5C468506825F3B97D2FEEC9BCBEB0525B482E6B883C57515ECBA5F16,2022-12-31 02:11:13 -0500 EST,terra1d5fzv2y8fpdax4u2nnzrn5uf9ghyu5sxr865uy,terravaloper1u53qwdgafryksqnzq3k7e5eyph7jlh8kgc3va4,Imperator.co,uluna,95,uluna,9913,true
